Num_Muestra,Meñique_%,Pulgar_%,Índice_%,Corazón_%,Anular_%,Acel_X,Acel_Y,Acel_Z,Gesto
1,17,11,20,0,49,9.7588,-2.5283,-0.4812,buenos_dias
1,18,14,22,0,53,10.1227,-3.6176,-0.1293,buenos_dias
1,37,38,45,1,78,12.1242,-7.2616,0.8188,buenos_dias
1,86,53,80,46,100,11.157,-15.1194,0.8882,buenos_dias
1,91,45,81,52,100,3.2322,-10.8074,-0.1365,buenos_dias
1,80,23,74,42,100,1.4293,-5.5952,0.4477,buenos_dias
1,74,12,70,35,100,-0.8859,-3.541,1.9896,buenos_dias
1,67,11,68,30,100,-4.1013,-2.7677,3.9887,buenos_dias
1,39,1,45,0,76,-4.7118,-5.205,7.1227,buenos_dias
1,0,0,0,0,6,-6.0358,-6.9767,2.8276,buenos_dias
1,0,0,0,0,0,-3.1867,-10.8625,-1.1013,buenos_dias
1,10,0,0,0,33,-3.3998,-7.9464,-0.826,buenos_dias
1,68,7,76,27,100,-1.9082,-5.3223,1.6233,buenos_dias
1,87,29,89,50,100,-5.442,-12.6031,4.6208,buenos_dias
1,95,47,93,59,100,-4.1539,-18.6652,6.1675,buenos_dias
1,87,13,86,46,100,-3.2465,-10.5441,3.5889,buenos_dias
1,28,0,0,0,30,-5.6958,-5.0494,2.3248,buenos_dias
1,0,0,0,0,0,-4.4508,-4.2904,2.2745,buenos_dias
1,0,0,0,0,0,-3.8666,-2.8922,1.7334,buenos_dias
1,0,0,0,0,0,-5.205,-3.7493,2.7533,buenos_dias
2,18,16,19,0,55,9.9838,-4.9153,-0.067,buenos_dias
2,48,49,64,18,100,12.3206,-9.9407,1.9561,buenos_dias
2,79,55,80,42,100,9.2919,-13.5703,2.4469,buenos_dias
2,89,48,83,52,100,1.7885,-10.2759,0.1101,buenos_dias
2,85,36,79,48,100,0.1149,-3.7924,1.3479,buenos_dias
2,73,20,73,38,100,-1.4653,-3.79,2.9592,buenos_dias
2,45,10,64,13,92,-2.9544,-1.6257,6.1723,buenos_dias
2,1,0,8,0,23,-5.5378,-3.5889,5.3463,buenos_dias
2,0,0,0,0,0,-5.6216,-6.9121,1.6328,buenos_dias
2,0,0,0,0,0,-2.7869,-11.3174,-0.9792,buenos_dias
2,44,0,46,3,82,-1.7933,-5.7509,0.0694,buenos_dias
2,77,18,80,36,100,-2.6863,-8.4851,1.482,buenos_dias
2,91,39,89,53,100,-4.5442,-19.6133,7.0366,buenos_dias
2,87,26,88,50,100,-3.7062,-13.3022,5.5569,buenos_dias
2,71,0,80,31,100,-3.8092,-7.8243,2.4373,buenos_dias
2,0,0,0,0,4,-4.865,-2.9353,1.0127,buenos_dias
2,0,0,0,0,0,-2.6552,-3.3974,1.6616,buenos_dias
2,0,0,0,0,0,-3.9217,-2.8611,2.4684,buenos_dias
2,0,0,0,0,0,-5.0589,-4.7549,3.4572,buenos_dias
2,0,0,3,0,26,-4.9344,-6.5386,3.0909,buenos_dias
3,76,22,78,41,100,-3.9385,-3.8954,4.6615,buenos_dias
3,46,17,66,14,91,0.7446,-4.9991,1.6472,buenos_dias
3,0,24,11,0,31,0.5842,-6.7421,3.1532,buenos_dias
3,0,33,4,0,17,4.695,-5.2146,8.5784,buenos_dias
3,30,40,53,0,87,6.6176,-19.6133,9.8306,buenos_dias
3,88,40,75,45,100,4.1324,-9.7683,4.8674,buenos_dias
3,86,28,73,45,100,-0.0551,-10.0006,-0.0742,buenos_dias
3,84,22,70,44,100,-0.4525,-5.4133,1.5347,buenos_dias
3,45,15,56,12,89,-1.3144,-2.4445,4.2952,buenos_dias
3,1,0,17,0,35,-4.707,-3.6679,6.9288,buenos_dias
3,0,0,0,0,0,-5.9927,-6.5577,5.8778,buenos_dias
3,0,0,0,0,0,-4.4963,-9.0333,-0.4166,buenos_dias
3,15,0,3,0,39,-3.9049,-7.5633,0.9242,buenos_dias
3,65,13,71,25,100,-2.4948,-6.7038,1.6496,buenos_dias
3,83,28,84,46,100,-1.6783,-5.7006,3.6943,buenos_dias
3,88,43,90,54,100,0.4788,-14.631,4.9344,buenos_dias
3,88,44,89,56,100,0.9242,-14.8848,6.3973,buenos_dias
3,85,37,87,53,100,-0.6416,-11.2623,4.9943,buenos_dias
3,81,26,84,46,100,-2.7366,-9.1291,3.7326,buenos_dias
3,51,0,68,15,93,-2.6839,-5.782,3.5554,buenos_dias
4,17,7,19,0,50,9.5289,-2.9784,-0.7518,buenos_dias
4,17,5,19,0,50,9.517,-3.2657,-0.5555,buenos_dias
4,21,5,20,0,51,9.6391,-3.0718,-0.6656,buenos_dias
4,18,5,20,0,50,9.9431,-3.2633,-0.5219,buenos_dias
4,22,31,31,0,61,13.2591,-9.9862,1.312,buenos_dias
4,38,40,53,8,87,9.5385,-13.4817,1.0918,buenos_dias
4,75,41,76,37,100,4.3215,-9.3446,-0.498,buenos_dias
4,92,48,85,53,100,0.6632,-5.4612,1.2067,buenos_dias
4,89,40,81,51,100,-0.9625,-3.0837,2.897,buenos_dias
4,63,19,68,21,98,-1.9968,-1.0774,6.4643,buenos_dias
4,4,0,0,0,5,-7.1706,-7.1251,5.4253,buenos_dias
4,0,0,0,0,0,-4.4436,-9.6367,0.9457,buenos_dias
4,0,0,0,0,0,-4.1372,-7.2903,1.2163,buenos_dias
4,32,0,17,0,55,-4.64,-6.7876,2.4325,buenos_dias
4,75,11,76,32,100,-3.8978,-2.217,2.229,buenos_dias
4,91,31,88,53,100,-6.0166,-8.7747,4.2114,buenos_dias
4,92,36,89,55,100,-7.4484,-17.5543,6.4715,buenos_dias
4,56,0,59,12,85,-4.9919,-8.6335,4.7285,buenos_dias
4,0,0,0,0,0,-5.4061,-7.4316,2.1691,buenos_dias
4,0,0,0,0,0,-4.13,-4.0917,1.6257,buenos_dias
5,22,27,23,0,52,10.4459,-5.9927,0.7015,buenos_dias
5,38,40,50,7,87,11.248,-10.9439,1.5131,buenos_dias
5,70,46,75,35,100,8.2839,-10.7955,0.5842,buenos_dias
5,92,54,84,52,100,2.6097,-9.4978,0.7111,buenos_dias
5,91,47,81,52,100,-0.5962,-2.988,1.6209,buenos_dias
5,83,35,76,44,100,-2.5187,-3.486,3.3974,buenos_dias
5,76,26,74,39,100,-4.7645,-4.877,4.8794,buenos_dias
5,63,19,70,29,100,-5.2529,-2.6193,6.6272,buenos_dias
5,25,0,18,0,40,-6.2608,-4.0534,4.8363,buenos_dias
5,0,0,0,0,0,-5.363,-7.0557,2.9808,buenos_dias
5,0,0,0,0,0,-5.3678,-8.4635,1.3982,buenos_dias
5,8,0,0,0,21,-5.2313,-7.7668,2.1691,buenos_dias
5,69,1,61,25,100,-3.9241,-4.2066,1.8962,buenos_dias
5,88,36,85,49,100,-3.2394,-7.2377,2.0351,buenos_dias
5,96,50,92,60,100,-5.6838,-13.5057,4.3335,buenos_dias
5,95,49,89,60,100,-4.8554,-12.1602,5.8179,buenos_dias
5,91,40,86,54,100,-4.2593,-9.2392,4.2545,buenos_dias
5,79,29,83,37,100,-5.4324,-5.6455,4.0869,buenos_dias
5,9,0,6,0,22,-5.9448,-5.3199,3.0454,buenos_dias
5,0,0,0,0,0,-4.1132,-4.5705,2.6767,buenos_dias
6,33,45,52,2,82,9.5026,-11.7316,0.9649,buenos_dias
6,74,52,73,37,100,6.0956,-11.7316,1.5227,buenos_dias
6,82,49,78,46,100,2.7509,-9.5624,0.8811,buenos_dias
6,84,50,76,48,100,-1.6999,-3.2058,2.1404,buenos_dias
6,81,48,72,46,100,-2.6121,-3.62,2.5331,buenos_dias
6,73,35,68,39,100,-5.035,-4.1635,5.849,buenos_dias
6,63,29,60,30,100,-5.5498,-4.0103,5.7772,buenos_dias
6,34,4,43,0,81,-5.6,-2.5139,5.9448,buenos_dias
6,0,0,0,0,13,-6.2537,-6.3925,4.0725,buenos_dias
6,0,0,0,0,0,-5.1451,-8.7747,1.5682,buenos_dias
6,0,0,0,0,0,-5.7748,-9.0501,1.3886,buenos_dias
6,41,0,35,0,78,-5.023,-6.4787,1.324,buenos_dias
6,89,51,87,50,100,-3.6105,-5.2816,1.5682,buenos_dias
6,97,58,92,60,100,-6.3183,-10.4435,4.1252,buenos_dias
6,98,56,91,60,100,-5.3079,-12.5336,6.426,buenos_dias
6,92,42,86,54,100,-5.5474,-8.102,4.1492,buenos_dias
6,47,0,52,0,77,-3.6966,-2.9066,5.9041,buenos_dias
6,0,0,0,0,0,-4.9416,-5.8634,3.0382,buenos_dias
6,0,0,0,0,0,-5.2194,-4.0318,3.0215,buenos_dias
6,0,0,0,0,0,-5.4492,-4.8866,2.7797,buenos_dias
7,24,21,24,0,52,9.9335,-3.5985,-0.6345,buenos_dias
7,25,27,29,0,53,9.9216,-4.4604,0.0383,buenos_dias
7,25,31,29,0,54,10.331,-8.3941,1.0319,buenos_dias
7,31,37,44,0,67,9.4451,-11.5257,1.5251,buenos_dias
7,62,39,68,26,100,5.4181,-10.6063,1.3743,buenos_dias
7,82,41,80,43,100,0.917,-7.7381,1.3767,buenos_dias
7,85,38,79,45,100,-1.6305,-3.6583,2.7318,buenos_dias
7,80,33,76,40,100,-3.5865,-2.7677,4.0342,buenos_dias
7,72,27,73,32,100,-5.3917,-3.7757,4.9752,buenos_dias
7,57,24,70,19,97,-5.8323,-3.3064,5.9831,buenos_dias
7,26,0,26,0,50,-6.0645,-3.8044,4.8507,buenos_dias
7,3,0,0,0,14,-5.9089,-5.8945,4.1563,buenos_dias
7,4,0,0,0,18,-5.521,-4.7812,4.4819,buenos_dias
7,34,0,28,0,72,-3.2178,-4.8147,3.1843,buenos_dias
7,81,38,79,43,100,-3.8092,-7.6662,1.2306,buenos_dias
7,92,49,88,56,100,-6.0286,-13.1106,3.9576,buenos_dias
7,91,48,87,56,100,-4.8435,-13.7786,5.7174,buenos_dias
7,87,36,83,49,100,-4.2449,-9.2392,3.6392,buenos_dias
7,71,7,77,34,100,-4.6639,-5.7006,2.5474,buenos_dias
7,10,0,0,0,19,-4.2521,-3.8427,2.7485,buenos_dias
8,19,14,17,0,50,9.6271,-2.6767,-0.8835,buenos_dias
8,19,16,18,0,50,9.6367,-2.9904,-0.3232,buenos_dias
8,18,18,17,0,50,9.7827,-2.8802,-0.3711,buenos_dias
8,17,25,18,0,51,11.4586,-6.3279,0.735,buenos_dias
8,22,27,39,0,78,10.6446,-11.5688,1.0032,buenos_dias
8,58,42,72,30,100,8.327,-10.0796,0.0048,buenos_dias
8,87,54,84,51,100,3.6631,-9.6103,0.2227,buenos_dias
8,91,55,84,55,100,-0.6823,-5.8969,1.8268,buenos_dias
8,86,45,80,51,100,-2.0758,-3.7373,3.3902,buenos_dias
8,83,41,78,47,100,-4.3431,-4.853,4.9081,buenos_dias
8,79,37,76,44,100,-5.7078,-4.027,5.5138,buenos_dias
8,55,26,69,21,100,-4.4652,-1.1013,6.5194,buenos_dias
8,0,0,0,0,2,-6.9432,-3.8642,3.1532,buenos_dias
8,0,0,0,0,0,-4.561,-10.2089,0.182,buenos_dias
8,0,0,0,0,0,-6.5362,-8.3701,1.324,buenos_dias
8,6,0,0,0,18,-4.9033,-5.9711,2.7797,buenos_dias
8,62,22,60,23,100,-4.2641,-3.8762,3.1723,buenos_dias
8,88,46,86,49,100,-5.5952,-5.4157,4.027,buenos_dias
8,93,53,89,58,100,-7.2329,-11.1522,5.0709,buenos_dias
8,92,51,87,56,100,-7.027,-11.1067,5.4708,buenos_dias
9,20,15,20,0,51,9.7061,-3.1268,-0.2274,buenos_dias
9,20,21,20,0,51,9.5505,-3.0335,-0.6273,buenos_dias
9,20,15,20,0,51,9.4643,-3.0143,-0.6752,buenos_dias
9,20,17,21,0,51,10.7739,-3.8762,0.0982,buenos_dias
9,25,35,41,0,75,12.2583,-10.6566,1.64,buenos_dias
9,55,44,69,24,100,9.0956,-12.9407,0.3639,buenos_dias
9,87,55,84,49,100,3.8211,-10.1825,0.1676,buenos_dias
9,94,60,85,58,100,0.1125,-5.023,0.6249,buenos_dias
9,91,54,79,55,100,-1.1181,-3.0526,2.8132,buenos_dias
9,85,48,78,49,100,-3.699,-2.6025,5.0063,buenos_dias
9,66,34,71,30,100,-4.944,-2.5738,7.8506,buenos_dias
9,22,1,23,0,39,-4.3479,-0.8595,5.6455,buenos_dias
9,0,0,0,0,0,-4.1061,-6.3255,3.6727,buenos_dias
9,0,0,0,0,0,-3.3902,-15.4881,-2.8539,buenos_dias
9,0,0,0,0,3,-3.9217,-8.2504,0.3017,buenos_dias
9,76,25,75,33,100,-2.9521,-6.778,1.2713,buenos_dias
9,99,52,94,61,100,-7.0677,-10.6925,8.4084,buenos_dias
9,99,54,93,61,100,-6.541,-12.2918,6.1004,buenos_dias
9,90,38,87,48,100,-6.1818,-6.5457,4.719,buenos_dias
9,8,0,6,0,20,-7.5776,-6.2991,2.9161,buenos_dias
10,16,26,22,0,52,10.7021,-5.0182,0.1628,buenos_dias
10,26,37,41,0,70,11.248,-12.0548,1.5299,buenos_dias
10,54,49,68,23,100,9.0285,-12.3756,0.6919,buenos_dias
10,87,59,82,49,100,3.644,-10.3262,0.5746,buenos_dias
10,92,60,82,55,100,-0.3807,-5.3678,1.0702,buenos_dias
10,88,55,78,52,100,-1.1732,-3.0933,3.1484,buenos_dias
10,83,47,75,46,100,-4.5155,-2.6528,4.1444,buenos_dias
10,75,38,73,40,100,-5.1834,-4.3503,6.4236,buenos_dias
10,39,29,47,0,85,-3.5578,-2.9137,5.9352,buenos_dias
10,0,0,0,0,8,-5.7437,-6.6607,3.1867,buenos_dias
10,0,0,0,0,0,-2.9449,-9.4236,1.0008,buenos_dias
10,0,0,0,0,0,-2.6288,-14.3652,-1.7214,buenos_dias
10,27,0,17,0,55,-3.4836,-8.9304,-0.1077,buenos_dias
10,87,46,85,48,100,-3.541,-4.719,2.7677,buenos_dias
10,98,57,93,61,100,-6.371,-10.3166,6.8067,buenos_dias
10,96,55,90,60,100,-5.6455,-8.5162,6.0262,buenos_dias
10,93,50,87,55,100,-5.6647,-6.0478,4.889,buenos_dias
10,74,11,78,34,100,-7.2305,-6.0262,4.5466,buenos_dias
10,0,0,0,0,0,-4.3646,-5.2553,2.7701,buenos_dias
10,0,0,0,0,0,-3.9217,-2.9712,2.5139,buenos_dias
11,17,14,17,0,48,9.5457,-3.237,-0.5291,buenos_dias
11,17,18,18,0,48,9.8043,-4.2665,0.328,buenos_dias
11,16,20,18,0,48,9.3948,-4.7501,0.2203,buenos_dias
11,28,31,37,0,74,11.9878,-10.4746,0.9481,buenos_dias
11,81,64,76,40,100,8.2049,-14.6381,1.0774,buenos_dias
11,94,66,81,53,100,2.885,-11.8441,-0.4357,buenos_dias
11,93,60,78,52,100,-0.34,-5.0302,1.4748,buenos_dias
