Num_Muestra,Meñique_%,Pulgar_%,Índice_%,Corazón_%,Anular_%,Acel_X,Acel_Y,Acel_Z,Gesto
1,37,29,21,0,72,9.9886,-1.9848,-0.917,cuanto_cuesta
1,37,29,20,0,70,9.9886,-2.8994,-0.3615,cuanto_cuesta
1,37,29,18,0,71,10.3501,-4.1683,0.431,cuanto_cuesta
1,63,36,20,30,100,11.88,-7.6543,1.7023,cuanto_cuesta
1,88,26,36,58,100,8.8849,-12.1123,1.9225,cuanto_cuesta
1,91,7,49,60,100,3.2992,-11.7531,1.245,cuanto_cuesta
1,90,4,39,58,100,0.7326,-6.2537,1.6927,cuanto_cuesta
1,91,3,18,60,100,-2.806,-6.0741,0.3041,cuanto_cuesta
1,89,0,41,58,100,-4.2066,-4.7549,1.4054,cuanto_cuesta
1,88,0,16,58,100,-6.1172,-6.5888,1.5203,cuanto_cuesta
1,88,0,23,58,100,-6.1459,-7.5513,2.4277,cuanto_cuesta
1,87,0,23,57,100,-5.9664,-8.1834,2.0877,cuanto_cuesta
1,87,2,11,57,100,-6.2465,-7.7812,2.9042,cuanto_cuesta
1,86,0,23,56,100,-5.9137,-9.0214,2.0399,cuanto_cuesta
1,86,13,13,56,100,-6.0047,-6.1339,2.2027,cuanto_cuesta
1,85,0,22,55,100,-5.0613,-7.0509,2.2673,cuanto_cuesta
1,84,0,30,55,100,-5.2313,-7.4508,2.1117,cuanto_cuesta
1,82,0,34,52,100,-4.8985,-8.5138,2.0399,cuanto_cuesta
1,81,0,11,53,100,-5.3846,-8.7963,1.3838,cuanto_cuesta
1,81,0,17,53,100,-5.3271,-8.1977,2.1596,cuanto_cuesta
2,26,19,18,0,54,9.6774,-2.5977,-0.7781,cuanto_cuesta
2,26,19,17,0,54,9.7133,-2.5642,-0.7709,cuanto_cuesta
2,27,19,17,0,54,9.754,-2.5953,-0.577,cuanto_cuesta
2,25,25,17,0,53,11.2695,-5.43,1.1396,cuanto_cuesta
2,52,33,20,18,88,10.9726,-9.2919,1.8483,cuanto_cuesta
2,85,18,39,52,100,7.7285,-10.647,0.8404,cuanto_cuesta
2,92,0,56,57,100,2.976,-9.7061,-0.6081,cuanto_cuesta
2,90,0,49,54,100,0.0192,-6.3111,1.4509,cuanto_cuesta
2,92,6,9,57,100,-2.6049,-5.5713,1.1851,cuanto_cuesta
2,91,0,23,56,100,-5.0829,-5.2672,1.1708,cuanto_cuesta
2,88,0,45,54,100,-5.9903,-6.5793,2.6528,cuanto_cuesta
2,89,41,1,56,100,-6.2321,-5.3822,3.541,cuanto_cuesta
2,88,12,12,54,100,-5.8706,-6.9312,3.0502,cuanto_cuesta
2,87,0,18,53,100,-5.9376,-8.0421,2.0016,cuanto_cuesta
2,87,0,17,54,100,-6.3303,-6.4907,3.1077,cuanto_cuesta
2,86,0,37,52,100,-5.4348,-7.5776,2.3727,cuanto_cuesta
2,85,0,9,53,100,-5.8945,-7.252,2.9951,cuanto_cuesta
2,85,0,20,52,100,-5.9496,-7.1371,2.7773,cuanto_cuesta
2,84,0,25,52,100,-5.8347,-7.0988,2.5019,cuanto_cuesta
2,84,3,12,52,100,-6.2177,-6.5888,2.5259,cuanto_cuesta
3,24,15,17,0,49,10.1107,-1.5945,-0.9649,cuanto_cuesta
3,24,15,17,0,49,10.0892,-1.549,-1.0008,cuanto_cuesta
3,23,16,16,0,49,10.1586,-2.6815,-0.5938,cuanto_cuesta
3,22,21,15,0,47,12.5097,-5.2313,0.8068,cuanto_cuesta
3,45,28,15,4,65,11.0995,-8.0086,1.98,cuanto_cuesta
3,80,30,41,39,99,6.5242,-10.7907,1.8316,cuanto_cuesta
3,91,0,59,50,100,2.7054,-8.0924,1.561,cuanto_cuesta
3,93,1,44,54,100,-0.5291,-6.8498,0.4764,cuanto_cuesta
3,93,18,17,53,100,-2.3463,-5.7628,1.1013,cuanto_cuesta
3,94,38,7,55,100,-4.8459,-5.7174,1.494,cuanto_cuesta
3,93,0,21,54,100,-5.6695,-5.5378,2.296,cuanto_cuesta
3,92,0,23,53,100,-6.2297,-6.6918,2.8922,cuanto_cuesta
3,91,15,12,53,100,-6.3375,-7.1874,2.6983,cuanto_cuesta
3,90,0,28,52,100,-5.6934,-6.8977,2.3846,cuanto_cuesta
3,89,0,18,52,100,-6.0885,-6.5481,1.9082,cuanto_cuesta
3,88,0,12,52,100,-5.9759,-6.9815,2.4995,cuanto_cuesta
3,87,0,17,51,100,-5.873,-7.5441,1.7382,cuanto_cuesta
3,87,3,10,51,100,-5.8706,-6.4787,2.7222,cuanto_cuesta
3,86,0,20,50,100,-6.1172,-7.9775,2.0423,cuanto_cuesta
3,86,0,13,50,100,-6.1675,-7.1635,2.8467,cuanto_cuesta
4,26,11,18,0,50,9.7013,-1.9465,-1.0774,cuanto_cuesta
4,26,16,19,0,50,9.6845,-1.5682,-0.7973,cuanto_cuesta
4,24,23,17,0,49,11.6191,-3.3184,0.3424,cuanto_cuesta
4,26,33,15,0,53,13.6853,-8.5497,2.3822,cuanto_cuesta
4,56,28,9,16,90,6.7756,-9.3541,1.8962,cuanto_cuesta
4,88,0,30,53,100,2.3343,-10.3525,1.7358,cuanto_cuesta
4,91,0,49,56,100,0.0503,-6.4212,0.6297,cuanto_cuesta
4,89,0,33,55,100,-2.9305,-5.8802,0.1532,cuanto_cuesta
4,90,0,13,56,100,-5.0877,-5.8107,1.6185,cuanto_cuesta
4,89,0,30,52,100,-5.6072,-6.1244,2.6695,cuanto_cuesta
4,88,0,10,54,100,-6.462,-6.7157,2.7031,cuanto_cuesta
4,87,0,12,53,100,-6.426,-7.252,2.2362,cuanto_cuesta
4,86,0,36,52,100,-6.2393,-6.9887,1.9417,cuanto_cuesta
4,83,0,33,49,100,-6.2944,-7.3789,2.2194,cuanto_cuesta
4,81,0,10,49,100,-6.3351,-7.2544,2.4229,cuanto_cuesta
4,82,0,28,48,100,-6.0142,-6.6846,2.5426,cuanto_cuesta
4,81,0,19,47,100,-6.0214,-6.3039,2.2721,cuanto_cuesta
4,81,0,12,48,100,-5.6096,-6.462,2.399,cuanto_cuesta
4,80,0,33,46,100,-5.3917,-7.4843,2.3439,cuanto_cuesta
4,79,0,24,46,100,-5.4684,-7.7452,2.909,cuanto_cuesta
5,26,16,15,0,55,11.9088,-5.7365,0.6823,cuanto_cuesta
5,39,19,11,0,66,10.9583,-7.5537,2.2075,cuanto_cuesta
5,53,21,12,15,82,7.8386,-7.3957,3.0909,cuanto_cuesta
5,80,15,22,46,100,1.8986,-8.3773,2.806,cuanto_cuesta
5,92,0,46,56,100,-0.4166,-8.2983,2.7054,cuanto_cuesta
5,90,0,45,53,100,-2.217,-6.6295,1.64,cuanto_cuesta
5,90,6,12,56,100,-4.2928,-6.9336,1.3479,cuanto_cuesta
5,90,0,22,55,100,-5.4133,-6.6942,1.5443,cuanto_cuesta
5,88,0,39,53,100,-6.0813,-7.5393,2.5283,cuanto_cuesta
5,87,30,7,55,100,-6.019,-7.0844,2.6121,cuanto_cuesta
5,88,0,17,53,100,-5.9616,-7.3717,2.1883,cuanto_cuesta
5,87,0,16,52,100,-6.0358,-7.6543,1.798,cuanto_cuesta
5,87,27,11,51,100,-6.2848,-7.2401,2.5666,cuanto_cuesta
5,87,0,7,51,100,-6.043,-6.7995,2.5642,cuanto_cuesta
5,87,12,11,52,100,-6.505,-6.6607,2.5019,cuanto_cuesta
5,86,0,25,51,100,-6.1483,-6.0238,3.2585,cuanto_cuesta
5,86,0,29,50,100,-6.0573,-7.8506,1.8627,cuanto_cuesta
5,85,0,25,51,100,-6.3398,-6.5984,2.806,cuanto_cuesta
5,85,0,40,50,100,-6.1651,-6.6846,2.818,cuanto_cuesta
5,84,0,50,49,100,-6.0478,-7.0222,2.3176,cuanto_cuesta
6,26,3,17,0,51,10.9367,-3.8714,0.1341,cuanto_cuesta
6,39,15,9,0,64,12.8305,-5.4827,1.3264,cuanto_cuesta
6,48,15,3,4,70,11.1522,-6.7804,3.1484,cuanto_cuesta
6,59,17,5,15,78,5.4324,-5.5905,2.9233,cuanto_cuesta
6,81,18,23,41,100,1.7789,-10.0772,1.7909,cuanto_cuesta
6,91,0,55,51,100,0.0599,-8.023,2.2745,cuanto_cuesta
6,91,0,61,51,100,-2.8563,-6.4643,1.3791,cuanto_cuesta
6,91,0,14,53,100,-4.7621,-6.9001,1.6233,cuanto_cuesta
6,92,15,14,54,100,-5.4636,-6.7876,2.071,cuanto_cuesta
6,89,0,44,51,100,-5.8442,-6.0573,3.5243,cuanto_cuesta
