Num_Muestra,Meñique_%,Pulgar_%,Índice_%,Corazón_%,Anular_%,Acel_X,Acel_Y,Acel_Z,Gesto
1,11,11,24,0,49,9.8617,-3.5817,-0.1532,gracias
1,11,22,23,0,46,12.7563,-8.5234,0.4094,gracias
1,11,22,22,0,48,10.4172,-10.6542,1.2665,gracias
1,8,27,22,0,48,7.1371,-11.157,2.308,gracias
1,0,17,17,0,36,1.5227,-7.8195,1.2402,gracias
1,0,9,0,0,10,-0.4908,-3.699,1.8747,gracias
1,0,15,0,0,0,-1.8842,-1.5347,3.7972,gracias
1,0,24,0,0,0,-5.5402,-6.0047,6.8354,gracias
1,0,15,0,0,0,-5.691,-2.7773,7.0461,gracias
1,0,7,0,0,5,-5.3486,-2.2841,2.739,gracias
1,0,4,0,0,1,-3.7685,-5.3654,0.7973,gracias
1,0,5,0,0,0,-2.2649,-7.4053,1.0127,gracias
1,0,9,0,0,1,0.3543,-11.5855,0.723,gracias
1,0,11,0,0,0,-1.5012,-10.5536,-0.1628,gracias
1,0,7,0,0,0,0.2562,-10.1706,0.3041,gracias
1,0,7,0,0,0,1.0343,-9.3134,-0.146,gracias
1,0,8,0,0,25,1.8986,-9.9551,-0.091,gracias
1,2,8,5,0,32,2.047,-9.7037,-0.656,gracias
1,5,7,11,0,35,3.4716,-8.5808,-0.8835,gracias
1,12,13,19,0,41,4.2066,-9.0094,-0.5387,gracias
2,10,15,20,0,43,9.8952,-2.5426,-1.2761,gracias
2,10,15,20,0,43,9.833,-2.3367,-1.3886,gracias
2,10,15,20,0,43,9.8737,-2.5067,-1.0582,gracias
2,9,15,20,0,42,11.2791,-4.3838,-0.1484,gracias
2,1,20,18,0,39,12.8449,-8.7197,1.0199,gracias
2,0,19,18,0,36,8.4755,-11.1402,1.968,gracias
2,0,16,16,0,28,4.3694,-8.916,1.9321,gracias
2,0,12,15,0,21,0.3352,-7.1323,1.8411,gracias
2,0,11,13,0,16,-2.059,-4.4149,2.9999,gracias
2,0,10,7,0,10,-3.1747,-1.1516,5.205,gracias
2,0,12,5,0,8,-4.8674,-4.9081,6.4811,gracias
2,0,12,4,0,9,-5.4348,-3.7972,6.6942,gracias
2,0,13,5,0,12,-5.0781,-3.9911,6.7253,gracias
2,0,15,7,0,14,-5.2098,-3.6105,7.1467,gracias
2,0,11,7,0,15,-5.6336,-1.1181,6.347,gracias
2,0,12,5,0,15,-4.9081,-2.5786,4.3838,gracias
2,0,18,1,0,15,-4.9656,-4.4628,1.549,gracias
2,0,14,0,0,13,-2.9784,-7.0485,1.0463,gracias
2,0,12,0,0,6,3.2848,-19.6133,2.3727,gracias
2,0,6,0,0,4,-0.8547,-8.9567,0.6321,gracias
3,8,18,20,0,43,9.6199,-2.6911,-1.2306,gracias
3,10,18,21,0,43,9.6007,-2.7126,-1.2043,gracias
3,10,18,20,0,43,9.6031,-2.6647,-0.9026,gracias
3,10,18,20,0,43,9.6127,-3.1053,-0.5028,gracias
3,10,18,20,0,43,10.1849,-3.9217,0.1963,gracias
3,6,13,15,0,39,11.1019,-6.0861,0.7135,gracias
3,6,12,12,0,37,10.6518,-8.6862,1.0654,gracias
3,2,5,11,0,36,7.4939,-9.4116,1.9441,gracias
3,0,0,8,0,32,4.2952,-9.0908,2.4565,gracias
3,0,0,6,0,27,0.3232,-8.3845,2.7677,gracias
3,0,0,4,0,21,-2.0399,-6.0071,2.9329,gracias
3,0,0,0,0,10,-3.3016,-3.5386,4.4676,gracias
3,0,0,0,0,0,-4.2976,-1.7933,6.1052,gracias
3,0,0,0,0,0,-5.3319,-3.8523,6.3949,gracias
3,0,0,0,0,0,-5.5378,-4.0917,6.2082,gracias
3,0,0,0,0,0,-5.6599,-3.9313,6.6224,gracias
3,0,0,0,0,0,-5.5593,-2.2745,7.1467,gracias
3,0,0,0,0,5,-5.5498,-2.4541,6.2034,gracias
3,0,0,0,0,7,-5.2888,-3.0526,3.9672,gracias
3,0,0,0,0,7,-4.458,-5.1763,1.9034,gracias
4,9,13,19,0,42,9.9192,-2.3056,-1.2594,gracias
4,9,13,19,0,42,10.0197,-2.6576,-0.5315,gracias
4,9,13,18,0,42,9.6869,-2.7653,-0.1987,gracias
4,8,15,17,0,41,12.9478,-7.5609,0.0192,gracias
4,0,21,18,0,38,12.4642,-9.8569,1.6448,gracias
4,0,22,19,0,31,6.6942,-9.5289,1.6544,gracias
4,0,25,15,0,18,1.4245,-6.1794,2.1165,gracias
4,0,28,8,0,10,-1.4916,-2.5833,2.4349,gracias
4,0,31,0,0,4,-2.8156,-0.8882,4.7333,gracias
4,0,36,0,0,4,-4.9081,-3.5338,7.0629,gracias
4,0,31,0,0,5,-5.1356,-2.3894,8.7005,gracias
4,0,10,10,0,20,-7.6782,-0.2251,4.7429,gracias
4,0,0,12,0,27,-4.7357,-3.565,1.0678,gracias
4,0,0,1,0,20,-2.9401,-7.2018,0.34,gracias
4,0,0,0,0,10,-1.6712,-10.1155,0.5387,gracias
4,0,3,0,0,0,3.7326,-19.6133,3.6248,gracias
4,0,0,0,0,0,-0.261,-9.5768,0.5842,gracias
4,0,0,0,0,0,0.9074,-10.2232,0.5004,gracias
4,0,0,0,0,22,2.387,-8.2839,0.3615,gracias
4,7,0,17,0,38,0.9888,-8.327,-0.0311,gracias
5,9,14,22,0,42,9.8617,-2.4708,-0.5602,gracias
5,9,15,16,0,42,9.9383,-3.0574,-0.0958,gracias
5,9,15,18,0,41,10.4196,-3.7326,0.3711,gracias
5,7,15,15,0,37,12.2128,-8.3582,1.087,gracias
5,0,16,12,0,32,10.082,-11.8226,1.822,gracias
5,0,14,13,0,27,4.9129,-9.9503,1.7765,gracias
5,0,25,14,0,21,0.2538,-4.6328,2.0423,gracias
5,0,30,8,0,11,-1.7549,-2.9568,3.4117,gracias
