Num_Muestra,Meñique_%,Pulgar_%,Índice_%,Corazón_%,Anular_%,Acel_X,Acel_Y,Acel_Z,Gesto
1,3,53,75,0,0,-4.4963,2.7246,4.1252,ninguno
1,3,56,75,0,0,-5.2361,2.5355,6.2345,ninguno
1,3,56,74,0,0,-5.4923,2.6145,7.4436,ninguno
1,3,54,74,0,0,-5.7437,2.4756,7.8099,ninguno
1,3,54,73,0,0,-5.4157,2.4493,7.3861,ninguno
1,3,53,73,0,0,-5.193,2.1668,7.2305,ninguno
1,3,52,73,0,0,-5.0733,2.3391,7.252,ninguno
1,3,53,73,0,0,-5.2194,2.49,6.9839,ninguno
1,3,53,73,0,0,-5.3199,2.5809,6.9552,ninguno
1,3,55,73,0,0,-5.3223,2.3463,7.1084,ninguno
1,4,58,73,0,0,-5.2385,2.5402,7.1467,ninguno
1,4,58,73,0,0,-5.3558,2.6408,6.8163,ninguno
1,4,58,72,0,0,-5.3989,2.7533,6.8953,ninguno
1,4,58,72,0,0,-5.3534,2.7821,7.1156,ninguno
1,4,56,72,0,0,-5.4492,2.7246,6.9288,ninguno
1,4,56,72,0,0,-5.3295,2.7294,7.039,ninguno
1,4,54,72,0,0,-5.3774,2.4948,6.9168,ninguno
1,4,55,71,0,0,-5.3606,2.7078,7.0629,ninguno
1,4,55,71,0,0,-5.4731,2.7821,6.9983,ninguno
1,4,55,71,0,0,-5.2625,2.4565,7.0557,ninguno
2,12,11,27,0,58,2.1117,-1.0726,9.4978,ninguno
2,12,10,27,0,58,2.1213,-1.2139,9.2799,ninguno
2,12,10,26,0,57,2.0638,-1.2139,9.3206,ninguno
2,11,11,27,0,57,1.9441,-1.5658,10.5465,ninguno
2,0,0,3,0,7,3.2441,0.34,14.1497,ninguno
2,0,0,0,0,1,-1.3479,4.2832,8.6742,ninguno
2,74,0,0,30,76,-3.7804,1.3551,6.3111,ninguno
2,89,40,80,51,100,-4.5083,-1.4748,5.1308,ninguno
2,89,73,89,51,100,-5.0135,2.5019,5.8442,ninguno
2,86,75,84,47,100,-5.3056,1.9776,7.2664,ninguno
2,0,40,0,0,100,-5.9304,4.2521,5.4133,ninguno
2,0,37,0,0,100,-5.9424,5.1404,5.6383,ninguno
2,0,41,0,0,100,-5.5091,4.5993,6.11,ninguno
2,0,59,0,0,60,-4.4987,6.1268,2.9951,ninguno
2,0,8,0,1,41,-5.2026,3.9887,6.3422,ninguno
2,6,26,0,16,29,-6.1842,4.7692,5.3893,ninguno
2,0,50,0,32,14,-5.9304,3.9672,6.0837,ninguno
2,0,60,0,36,9,-5.4612,2.6408,6.2991,ninguno
2,0,66,0,38,6,-5.782,4.0175,5.4588,ninguno
2,0,66,0,38,4,-5.6551,4.5131,5.861,ninguno
3,7,15,27,0,41,0.419,1.2498,9.2416,ninguno
3,9,13,27,0,39,0.1867,1.5658,10.0341,ninguno
3,1,0,0,0,1,0.1125,2.1859,10.5058,ninguno
3,26,8,0,0,2,-2.4325,1.2594,7.7572,ninguno
3,31,21,0,0,5,-3.1316,3.0167,6.8929,ninguno
3,34,25,0,0,4,-2.9497,3.1963,7.9344,ninguno
3,37,25,0,0,5,-2.897,5.1044,7.9823,ninguno
3,42,31,0,0,10,-3.6919,4.5155,6.4524,ninguno
3,38,32,29,0,29,-3.7924,2.0279,5.3678,ninguno
3,32,36,55,0,57,-3.7278,3.9887,6.3805,ninguno
3,26,36,56,0,76,-3.1005,2.8898,7.6662,ninguno
3,22,33,54,0,72,-4.6759,1.8316,5.2672,ninguno
3,47,37,0,0,10,-4.616,8.0325,5.7102,ninguno
3,55,39,0,0,0,-3.9385,5.2218,6.9025,ninguno
3,54,38,0,0,0,-4.2018,4.6878,6.8378,ninguno
3,54,34,0,0,19,-5.3606,2.8898,4.2713,ninguno
3,35,38,65,7,82,-3.45,2.557,6.2465,ninguno
3,31,37,64,5,79,-4.6376,3.6224,7.0174,ninguno
3,34,34,45,0,60,-3.4381,3.4692,9.6295,ninguno
3,52,35,0,0,1,-4.0031,3.699,7.5561,ninguno
4,9,5,38,0,59,1.0822,0.0168,9.7899,ninguno
4,10,8,34,0,60,0.929,-0.2298,10.0054,ninguno
